Name	Exp_1	Exp_2	Exp_3	Exp_4	Exp_5	Exp_6	Exp_7	Exp_8	Exp_9	Exp_10	Exp_11	Exp_12	Exp_13	Exp_14	Exp_15	Exp_16	Exp_17	Exp_18	Exp_19	Exp_20	Exp_21	Exp_22	Exp_23	Exp_24	Exp_25	Exp_26	Exp_27	Exp_28	Exp_29	Exp_30	Exp_31	Exp_32	Exp_33	Exp_34	Exp_35	Exp_36	Exp_37	Exp_38	Exp_39	Exp_40	Exp_41	Exp_42	Exp_43	Exp_44	Exp_45	Exp_46	Exp_47	Exp_48	Exp_49	Exp_50	Exp_51	Exp_52	Exp_53	Exp_54
HBD	-3.6555	-2.091	-3.26283	-1.71483	-1.68417	-3.44083	-2.829	-3.253	-3.38283	-2.667	-2.3015	-2.62417	-1.97433	-1.13267	-2.45217	-1.06	-3.3938	-1.197	-2.6955	-2.1275	-1.35283	-0.764	-1.4135	2.54383	-2.5805	-2.024	-2.96817	-3.904	-1.045	-3.378	-1.18667	-2.28583	-3.9905	-3.31317	-3.12517	-3.07733	-2.35333	-2.03533	-2.209	-2.77367	-2.70517	-3.03	-2.75283	-1.92467	-2.94933	-2.8495	-2.07367	-2.75933	-0.665667	-0.27	-4.13717	-1.7625	-3.11683	-2.1705
HBEGF	-0.17975	-0.477875	-1.72157	0.18725	-0.551125	-0.4545	-1.21875	-0.723	-1.512	-0.37075	-0.048375	0.172625	-0.341875	-0.275875	-0.709	0.456125	-0.05	-0.643	-1.59862	-0.133375	-0.113	0.28375	-0.571	-0.74975	-0.614875	0.5985	-0.101625	-0.98425	0.934625	-0.17675	1.22487	-0.73275	-0.50825	-0.05825	-0.83425	-0.902125	0.314375	0.55625	0.8495	-0.744125	-0.083875	-0.699	0.132375	-0.23875	0.177375	-0.679125	-0.318375	0.638875	1.10125	-0.0915	-0.44225	-0.057	0.07825	0.15375
HBG2	-4.12475	-2.507	-1.43267	-1.42233	-1.7255	-1.86633	-2.03075	-2.8665	-3.48833	-2.74567	-2.07133	-1.695	-2.33425	-4.08633	-2.639	-2.1865	-3.1115	-2.10575	-3.25925	-1.97975	-2.78333	0.2565	-1.8475	-2.00475	-2.518	-2.653	-4.37275	-3.159	-3.5775	-3.527	-3.44825	-2.7215	-3.752	-4.0115	-2.2035	-3.6065	-2.566	-4.17475	-3.00867	-2.1275	-3.37475	-3.3115	-3.19533	-3.35225	-3.43075	-3.354	-2.254	-2.82925	-2.9755	-3.614	-4.795	-3.146	-2.83575	-3.37225
HBP1	0.243833	-0.559167	-2.56617	-0.349833	0.0995	-0.802667	0.0506667	-0.6155	1.11167	-0.499333	-0.340333	0.538333	-0.965333	-1.39483	-1.2755	-0.175667	0.887167	0.350833	-0.2875	-0.0363333	-0.597333	0.315167	0.088	0.358667	0.766833	0.4435	-0.243667	0.432	-0.1405	0.561833	-0.027	-0.301167	0.3025	-0.429167	-0.714333	-1.36367	0.0366667	0.6775	-0.0458333	-0.936333	-0.134667	0.0346667	-0.346167	-0.283833	-1.24683	-0.363	-0.654333	0.2565	0.216	0.7135	-0.244333	-0.728667	0.656167	-0.539167
HBQ1	-2.249	-1.222	-0.8765	-1.154	-1.4545	-1.5395	-1.2405	-1.361	-1.355	-1.9205	-0.6745	-1.5555	-0.52	0.074	-0.464	-0.227	-2.2365	-1.2305	-1.594	-1.304	-0.9245	-1.3385	-1.2765	0.3395	-2.1865	-2.5315	-2.3365	-3.183	-2.104	-1.2575	-1.375	-0.8645	-2.126	-1.886	-0.341	-0.552	-1.598	-1.917	-0.319	-0.8785	-2.1905	-1.856	-1.473	-1.0135	-0.554	-1.205	-1.3115	-1.821	-1.9305	-1.756	-2.118	-0.7815	-1.8735	-1.9325
HCFC1R1	0.919	0.0993333	1.1735	0.275667	-0.094	0.225167	0.752667	-0.0015	-1.631	-0.0341667	0.893667	-1.30917	-0.546833	1.67783	0.0451667	0.612333	1.08117	0.197333	0.298833	0.404833	0.303167	0.185833	-0.330333	-0.0513333	-0.335333	-1.19233	0.222833	-0.235833	0.034	-0.460667	-0.853833	0.370667	0.453167	-0.111333	1.268	1.27983	-0.0615	-0.859833	0.5325	0.930833	-0.521667	-0.0208333	0.473667	0.722667	0.024	0.950833	0.445	-1.1595	-0.954333	-0.424333	0.282167	0.991	0.485	0.468
HCFC2	-0.3705	-1.0465	-2.14167	-1.303	-0.82	-0.17025	-0.737	-0.218	-0.14675	-0.3805	-1.0245	-0.8425	-1.43275	-1.1065	-1.1775	-0.245	-0.1995	-0.7295	-0.5005	-1.184	-0.709	-1.0045	-1.04875	-0.812	-0.5815	-0.1115	0.332	-0.56125	-0.4115	0.306	0.81	-0.8395	0.49975	0.12175	-1.44075	-1.651	0.4065	-0.06775	-0.847	-1.1835	-0.74475	0.8365	-0.27725	-0.23325	-0.752	-0.86475	-0.67975	0.5915	-0.26575	-0.07025	-1.52725	0.00025	0.581	-0.1655
HCG27	0.88725	-2.02833	-0.2905	-0.906333	-1.5335	-0.854333	-1.354	-0.749667	-0.765	-0.65	-2.488	-1.0635	-0.906	-2.16325	-1.21275	-0.402333	2.1265	-0.75175	-1.28	-2.03225	-0.381	-1.354	-2.213	-1.31325	-0.8975	-1.39025	-0.652	-0.337333	-0.17975	-1.12925	-1.84475	-0.988	-1.14475	-0.78475	-0.6175	-1.415	-1.55575	-1.1275	-1.0885	-0.48575	-1.3775	-1.892	-0.44425	-1.13025	-1.22725	-0.801667	-0.8725	-0.8925	-0.28325	-1.204	-0.8225	-0.26375	-1.687	-0.087
HCK	1.91933	2.65217	0.064	1.7075	1.50267	2.7845	1.934	2.06567	1.18467	2.33367	1.58467	3.46433	2.12517	4.22017	2.66733	0.473333	0.8298	0.611	1.51733	1.90433	1.65967	2.08883	2.6315	1.80217	3.525	2.87633	0.964	3.03883	3.36283	0.878	2.02633	0.767167	3.6035	3.533	2.12983	0.401833	2.92033	2.16117	3.404	1.80367	2.90567	1.607	3.33567	2.5705	2.30117	0.567667	0.649333	2.8645	2.4375	0.9055	3.981	1.56667	2.67683	3.07583
HCLS1	-1.20917	0.952	-1.68333	1.68833	-1.006	-1.36917	2.04217	-0.2945	-1.81867	-1.0615	-0.9805	-0.318167	-0.0481667	2.609	0.0445	1.22483	-1.50117	-1.78367	1.70783	-1.4235	0.220167	-0.580333	-0.635333	-0.954167	0.550833	1.593	-1.54017	0.665167	0.932667	-0.311	-0.789667	-1.9105	0.738667	0.476167	0.567167	-0.0101667	-0.140333	-0.717333	0.229667	-0.518	1.01517	-0.424	0.787333	0.3135	-0.159833	-2.005	-1.4865	0.324167	-1.09967	-2.00167	-1.78033	0.832833	1.438	1.15183
HCN2	-0.104	0.647333	1.54033	0.312333	0.762	0.9965	1.12667	0.462	0.553167	0.3566	1.6984	-0.722167	1.47733	2.11433	1.35217	2.4098	-0.585	0.3985	0.564167	0.789667	1.3375	0.976667	0.796667	0.961333	0.9255	-0.0568333	-0.149167	0.890333	1.45217	0.609833	1.02367	1.26617	0.44	0.738667	2.17933	1.73433	1.50867	0.773	1.417	2.71883	1.08067	0.427333	1.3145	1.80817	1.90883	1.7485	1.81517	0.7955	0.699167	1.287	0.737333	1.81417	-0.154167	1.06633
HCN3	1.17733	-0.86	0.773167	-0.539333	-1.07617	0.228667	-1.49767	-0.809333	-0.763833	-1.996	0.505833	-1.84933	-1.17183	-2.23133	-1.41	-1.10117	0.231833	-0.2545	-1.45767	-1.18417	-1.257	-0.352667	-1.63083	-1.22783	-0.788667	-0.697333	1.3915	-0.604833	-1.2578	-0.248833	-1.05333	0.277	-2.271	-0.538333	-0.4825	-0.166167	-1.47933	-0.896	-1.39833	0.878333	-1.53333	-0.901167	0.132	-0.3985	-1.09817	1.199	0.0786667	-0.214667	-1.007	-0.8615	-0.518	-0.245667	-0.911833	0.238167
HCN4	0.1645	1.29417	1.669	0.834167	0.574833	0.652667	1.389	1.08533	0.321833	0.475667	2.4862	-0.869667	1.1375	1.2605	1.61017	1.7955	-0.5712	0.173	0.722667	0.64	1.55233	1.21233	0.5725	0.453333	0.676333	0.0526667	0.233667	1.1925	2.59983	0.701667	0.956333	1.19033	0.598333	0.697167	2.317	1.66083	1.3615	0.8205	1.24733	2.799	1.30967	0.474167	1.75633	1.885	1.91733	2.16617	1.68767	0.808333	0.912	1.3785	1.418	1.771	-0.344833	1.187
HCP5	0.981125	1.869	1.6685	1.61312	0.5205	0.330143	2.482	1.94625	0.3355	0.4725	0.97325	2.41375	2.05875	3.02375	2.20637	2.62775	1.18087	0.61225	1.92388	1.66488	1.58675	0.9655	2.62725	1.96938	2.54887	2.0215	0.446625	2.2285	3.03938	1.61538	2.018	2.13325	1.69613	0.754875	1.35425	1.28325	2.1075	1.33337	0.6085	1.46162	1.39512	0.905125	0.972	1.17037	1.39525	0.934	0.87075	0.549875	0.71325	1.09963	1.53775	0.921625	0.235875	0.888875
HCRP1	-0.011	-2.286	-0.448	-1.546	-1.63	-1.227	-1.1885	-1.975	-2.0005	-2.1975	-0.4485	-0.8135	-0.4175	-1.0645	-0.418	-0.778	0.441	-2.5875	-2.52	-1.43	-1.7215	-1.856	-4.4055	-2.1135	-1.41	-0.965	-0.178	-1.8175	-0.8025	-0.524	-1.2705	-1.483	-2.077	-1.1505	-1.577	-1.021	-2.193	-1.8535	-2.032	-1.652	-1.883	-1.0915	-1.0525	-1.273	-0.624	-2.4255	-1.6645	-1.848	-1.558	-0.178	-1.448	-0.994	-1.2715	-0.8445
HCST	1.2265	1.221	1.3145	1.05525	1.617	1.601	2.35725	1.5165	0.698	0.92025	1.00975	1.28275	1.96475	4.03975	2.1745	2.3835	1.98525	0.9225	1.295	1.50125	1.808	1.334	1.3115	1.4485	2.19875	0.534	0.39975	1.616	3.317	0.9305	1.664	0.91075	1.7655	2.4095	2.47325	1.73425	2.08375	0.25625	1.609	1.77925	0.759	0.4775	2.1945	1.438	2.23525	0.95875	0.65925	0.87	2.4215	0.299	1.95625	1.868	1.401	2.37425
HDAC1	0.386667	-0.0171667	-0.109	0.376333	0.476667	0.408833	0.850667	-0.114	0.5905	0.00416667	0.414833	0.0811667	-0.136167	0.0665	-0.233	-0.431333	0.331167	1.11483	0.452167	0.638333	0.0351667	0.417833	0.253667	0.256833	-0.291667	-0.0508333	0.489667	-0.0223333	0.0731667	0.194167	-0.104333	0.1675	0.461	-0.229	-0.3695	0.275667	-0.552167	-0.341167	-0.111333	0.357333	-0.0075	-0.413167	0.509333	0.1585	1.08183	-0.106833	-0.1015	0.109833	0.9275	8.09538e-18	0.239333	-0.407333	0.428	0.722667
HDAC10	-0.4655	-1.0665	-0.391	-0.323	-0.811	-0.675	-0.246	-0.5495	-1.232	-0.8395	-0.619	-0.62	-0.761	-1.073	-0.7345	-0.7295	-2.058	-0.5745	-0.451	-0.4505	-0.6635	-1.365	-0.738	-0.401	-0.3245	-0.5915	-1.089	-0.806	-1.1715	-0.6	-0.414	-0.208	-1.241	-0.568	-0.74	-0.3765	-1.491	-0.635	-0.8345	-0.7545	-0.816	-1.457	-0.5445	-0.699	-0.9675	-0.768	0.1075	-0.409	-1.332	-0.878	-1.657	0.0835	0.0145	-0.1945
HDAC11	-0.0266667	0.143	-0.236667	0.717667	-0.214667	0.341167	2.37283	0.478667	-0.233	0.047	-0.1265	0.432667	1.066	2.286	1.03633	1.73367	0.648167	0.0933333	1.6445	0.8645	0.676167	0.312667	0.762667	0.9605	0.1335	0.0946667	-0.834	0.6235	-0.338333	0.4385	0.226833	0.513167	0.511	0.217	0.6985	1.42533	1.2255	0.189	0.209333	0.589	0.9455	0.221833	0.4155	0.619333	0.443167	-0.527167	-0.00616667	-0.0403333	-0.295333	0.6655	3.04717	0.530167	0.300667	-0.153667
HDAC2	1.1225	0.636375	0.294	0.466875	1.09375	0.167375	0.238125	0.35825	1.07825	1.26063	0.470125	1.24113	0.987125	-0.500875	0.822625	-0.559375	0.37875	1.10213	-0.0035	1.3805	0.992375	1.19863	1.29025	1.17813	0.8115	0.0905	1.03963	0.881625	0.340125	0.876	0.6245	0.52525	0.094625	0.72425	-0.242	0.413375	0.64975	0.7695	1.013	0.098625	0.76275	1.27	-0.51125	0.14375	1.14013	0.993125	0.6695	0.763375	1.04763	0.2675	-0.174	0.81	0.077	-0.180375
HDAC3	0.4635	-0.407	-1.726	-0.1845	-0.6585	-0.3035	-0.83925	-1.16425	-0.29675	0.2155	-0.7205	-0.339	-0.42775	-1.175	-0.4825	-0.54825	0.446	0.58225	-0.461	-0.25275	-0.682	-0.37475	-0.13575	0.475	-0.152	-0.10675	0.08375	-0.34625	-0.3735	0.88925	-0.16175	-0.37925	0.25175	0.695	-1.29275	-0.94025	-0.5605	0.20225	0.1915	-0.965	-0.126	-0.0925	-0.38925	-0.7545	0.106	-1.13825	-0.446	0.30075	-0.2345	0.06525	-0.10475	-0.76775	-0.5315	-0.3615
HDAC4	-0.518643	-0.623643	1.63038	-0.726214	-1.3975	-0.621286	-0.976857	-0.593571	0.0375	-0.517857	-0.352786	-0.475714	-0.900714	-1.38369	-0.915143	-1.43777	-0.00183333	-0.846929	-0.774857	-1.00436	-0.937214	0.516429	-0.372143	-1.13136	-0.257	-1.07779	-0.178643	-0.579786	-0.436643	-1.031	-1.31929	-1.16543	-0.535	-0.663214	-0.4715	0.257143	-1.00879	-0.803	-0.5705	-0.174929	-0.4105	0.318929	-1.34386	-0.477214	-0.809214	0.07	-0.367714	-1.4745	-0.356143	-0.764357	-0.150786	-1.135	-0.639143	-0.902643
HDAC5	1.6576	-0.0435	-0.3315	-0.1409	-0.619	-0.9839	-0.0389	-0.3673	1.4885	-0.4424	0.3302	-0.4631	0.2991	0.4814	-0.3511	0.4449	0.8666	1.0145	-0.1525	0.1322	0.3006	0.8519	0.1235	-0.1237	0.4619	-0.5087	0.5066	-0.1722	-0.5755	0.2267	0.5149	0.4159	-0.1163	-0.4238	-0.869	-0.1532	0.7619	-0.269	-0.4454	-0.3196	0.1795	-0.7626	0.4714	0.3266	-0.0809	0.2227	-0.2109	-0.1198	0.6768	0.2582	-0.0437	0.1785	0.2369	-0.1703
HDAC6	-0.213625	-0.705875	-0.839125	-0.406375	-0.410125	-0.364125	-0.34675	-0.66975	-0.87125	0.002	-0.311	-1.3435	-0.19175	-0.4395	-0.631	-0.192875	1.126	-0.056375	0.591625	-0.638	-0.515625	-0.765125	-0.826375	-0.354875	-0.79925	-0.7875	0.05325	-1.20837	-0.9635	-0.59675	-0.77475	-0.628375	-0.691625	-0.96825	-0.62375	-0.405125	-0.710625	-0.564625	-0.6935	-0.32775	-0.587	-0.092	-0.61675	-0.819375	-0.92175	-0.569	-0.602	-1.0445	0.236875	-1.00857	-0.354	-0.36225	-0.903125	-0.053875
HDAC8	-0.3245	-0.9995	-2.0774	-0.633333	0.310833	-0.567833	-0.480333	-0.262667	-0.981833	-0.5085	-1.13283	0.0891667	-0.848167	-0.7255	-0.366	-1.2002	-0.286333	-0.378	0.555667	-0.866833	-1.27417	-0.698167	0.0538333	0.266833	-0.392833	-0.1425	-0.1315	-0.382833	-0.951667	0.462167	-0.371	-0.503333	0.8465	-0.558333	-1.00417	-1.19167	-0.206333	-0.249333	-0.222667	-1.435	-0.391833	0.396833	-0.503	-0.625333	-0.1065	-1.36067	-0.6985	-0.0328333	0.0478333	0.0455	0.404833	-0.57	0.133	-0.194833
HDAC9	0.565	0.6945	0.933556	0.8485	0.4957	0.616182	1.1185	0.286455	0.0725	1.1725	0.8458	0.8545	0.347083	0.214583	0.465111	-0.162091	-0.0550909	0.171583	0.465833	0.396917	-0.260182	0.34275	0.936083	0.559083	1.35292	0.863583	0.676583	0.635182	1.52492	0.909167	1.04958	0.387917	1.46292	0.0683333	1.07925	0.1755	0.467333	1.063	1.04975	0.261	1.0015	0.641833	1.32108	0.562083	0.75725	0.985909	0.878417	1.25508	-0.0718182	0.886111	-0.134545	0.553333	0.41425	0.661818
HDC	1.2865	4.345	6.393	0.9365	-0.061	0.2915	1.405	1.7835	1.3065	-0.357	0.57	0.626	1.1595	1.557	0.5395	2.6765	0.9465	-0.1195	0.693	0.1925	1.6445	6.0375	2.1705	2.5235	1.2565	0.515	-0.822	2.565	-0.4255	0.128	1.5865	-0.0265	3.588	0.207	0.269	3.389	0.2355	0.1735	0.1995	-0.6	1.1085	-0.022	0.426	0.325	-0.093	0.381	0.779	0.2495	3.3845	0.6695	1.485	0.8475	0.026	3.007
HDGF	1.799	0.0695	0.782	0.68025	0.68775	0.587	1.66275	1.08375	1.03325	0.059	0.40425	-0.21125	-0.16925	0.653	0.29675	0.24925	0.61175	0.5195	1.24675	0.702	0.383	0.70725	-0.5825	0.056	-0.1485	0.4125	0.5905	0.73525	0.881	1.3045	0.39575	0.696	1.45425	-0.11125	1.73275	1.31975	0.9	0.16575	0.89375	2.259	0.819	1.28325	0.461	1.3445	1.513	0.39125	0.45175	0.8	0.98	0.50675	1.1025	0.20625	0.8015	-0.01675
HDGFRP3	-0.329333	-0.41	-0.517167	-0.687667	-1.8565	-3.73967	-0.6885	-0.291667	0.0678333	0.17	-1.2955	0.595667	-0.7965	-0.829333	-0.9485	-1.8825	-0.556667	0.452333	-4.37283	-0.280833	-1.22	0.199167	-0.839667	-0.325	-0.3295	-0.146667	1.13367	-2.2055	-1.068	-0.9205	-3.69733	0.0488333	-0.498	-0.215333	-2.1245	-1.84717	-0.826667	0.228667	0.102	-1.874	-0.2035	-1.52583	-0.701	-2.56517	-1.90983	0.1915	-0.8705	-3.21533	0.319167	-1.08617	-0.386833	-0.745333	-3.84317	-2.78167
HDHD2	-0.35675	-0.3035	-1.95175	-0.906	-0.17525	-0.135	-1.766	-0.38675	-0.147	-1.2165	-1.622	0.14	-0.29625	0.61025	-0.53425	-0.7145	0.0255	-0.93075	-1.2265	-0.71175	-0.90425	-0.288	-0.036	-0.09825	-0.114	-0.1105	0.3645	-0.574	-0.64675	-1.6165	-0.033	-0.72875	-0.4075	-1.05175	-2.10425	-2.1775	-0.4085	-0.041	-1.4145	-1.19	-0.27875	-1.0735	-0.50175	-1.12325	-1.467	-0.96125	-0.5795	-0.5785	-1.12267	-0.162	-1.1985	-0.96625	-0.60575	-0.67125
HDX	-0.273667	-0.295833	0.7872	-1.86967	-1.04317	-1.40667	0.467167	-0.0355	0.8405	1.42317	-0.8184	-0.8504	-0.0034	-0.94875	-1.3134	-1.48433	0.598	-1.31	0.694833	-1.23467	-0.5222	0.000666667	-1.32617	-1.23067	-0.715667	0.0131667	1.29933	-1.74833	-0.954	-1.3246	-1.51533	-1.2735	2.443	-0.480167	-0.578333	-0.221333	-0.941333	-1.4115	-1.019	-0.632667	-1.67833	0.474	-1.36933	-0.9875	1.17083	-0.931333	-1.05083	1.54317	0.962833	1.17183	0.978833	-1.003	-0.39	-0.283667
HECA	0.616	0.76925	0.245	0.0915	0.66675	0.859	0.52875	0.8265	1.00175	1.07275	0.59475	1.4425	0.83625	1.10725	0.7525	1.349	1.60775	0.8105	0.7515	1.16475	0.81375	1.31025	1.27725	0.758	1.97675	1.26625	1.384	1.03425	0.941	1.27375	1.573	1.30125	1.20275	0.851	0.89725	0.4265	1.383	1.03925	0.37625	0.774	0.96075	0.81225	1.13675	0.599	0.77725	1.28375	1.38725	0.745	1.895	0.706	-0.43925	0.82675	-0.4135	1.05925
HECTD2	0.214167	-0.738333	-1.39833	-1.1825	-0.9505	-0.7215	-0.761167	-1.32433	-0.622833	0.0578333	-0.253167	-0.849	-0.629167	-0.698167	-0.234667	-1.7115	0.486	0.735	-1.215	-0.679667	-0.0471667	-0.146	-1.19617	-0.862	-0.537667	0.041	1.25683	0.181333	-0.722833	-0.274	0.442667	-0.394667	-0.549	-2.29517	-0.880333	-1.718	-0.979167	-0.0308333	-2.11633	-0.331833	-0.145333	-0.128667	0.0166667	-0.2305	-2.213	-0.323167	-0.911	-0.584167	1.18183	-0.630833	-0.428833	-0.8214	-0.113833	0.490833
HELB	0.87475	-0.9215	-0.432333	-0.79075	-1.43675	-1.7385	-0.175	-0.39425	-0.37425	-0.9415	-1.70225	-1.0415	-0.75425	0.007	-0.73325	-0.27375	0.679	-1.19925	-0.381	-0.919	-0.403333	-0.1285	-1.24825	-1.0065	-0.995	-0.0845	0.262	-0.52325	-0.73975	0.52775	-1.4945	-1.2055	1.48	-0.77875	-1.973	-0.36325	-0.4405	-0.9075	-0.6315	-0.28175	-0.83225	-0.5055	-0.70075	0.30225	0.362	-0.3615	-0.3375	-0.50975	-0.847	-0.2855	-0.4955	-1.18467	-0.3495	-0.2315
HELLS	-1.1805	-1.4535	-1.18825	-1.0745	-0.6665	-0.321	-1.67725	-1.8545	-1.21225	-0.33825	-2.355	-0.68425	-1.81525	-1.401	-1.3065	-2.129	-1.56833	-0.419	-1.17075	-0.83375	-1.284	-0.3055	-2.52275	-0.9775	-2.254	-0.8305	1.0055	-0.898	-1.301	-1.25075	-1.933	-0.85075	-0.849	-2.154	-1.85625	-2.485	-1.86425	-0.801	-0.8495	-1.55025	-1.31575	-0.762	-1.858	-1.6115	-2.9035	-1.17475	-1.50725	-1.66125	-0.171	-1.3655	-0.23575	-1.866	-1.4355	-1.28725
HEMGN	-3.68733	-4.40583	-2.09125	-4.6076	-5.5738	-4.98833	-4.0438	-4.3635	-4.866	-4.39917	-4.0232	-5.231	-3.8636	-4.9195	-3.6092	-3.2038	-5.50633	-3.905	-5.761	-5.939	-5.0522	-3.37117	-4.10817	-4.47183	-6.45233	-6.0605	-4.12817	-5.175	-3.7704	-5.3086	-5.553	-5.6268	-7.0375	-4.86017	-4.088	-4.40783	-5.47417	-5.55283	-4.98	-3.76433	-5.55017	-5.76067	-4.96433	-4.74783	-5.12783	-4.54383	-4.6305	-5.246	-4.80783	-4.13275	-6.47283	-4.26333	-5.22483	-3.7685
HEPH	-1.35987	-0.601125	-1.29775	-1.7485	-2.28525	-3.236	-2.16475	-1.44138	1.79787	-1.477	-1.34213	0.48	-2.43314	-1.795	-1.01937	-2.354	-3.91613	1.19525	-2.87337	-1.73113	-0.247125	-0.758375	-1.16325	-2.0015	-0.51	-1.77988	-2.0225	-1.463	-1.6315	-0.152875	-1.45538	-2.35475	1.42687	-1.88938	-2.094	-0.815125	-0.65925	-1.90688	-0.391875	-1.44663	1.124	-0.376625	-1.84088	-1.3435	-0.884625	-1.2015	-0.607	-1.70812	-2.32325	-2.44625	-2.33113	-1.7155	-1.9585	-1.18188
HERC2P2	-0.6085	-0.904	-0.7455	-1.26683	-2.49217	-0.415	-1.09233	-1.03833	-1.32783	-0.549333	-0.423667	-0.934833	-1.43183	-1.70683	-1.353	-3.3728	-1.05533	-0.802833	-1.59317	-0.908	-0.144667	-2.26567	-0.6915	-2.1405	-0.464	-0.8875	-0.0743333	-1.33417	-1.02267	-1.76567	-0.220333	-1.05833	-1.58733	-0.442667	-1.0795	-0.984	-0.874333	-0.73	-2.875	-0.120167	-1.11217	-1.6885	-0.1665	-0.491667	-1.79817	-1.23467	-0.392	-1.66367	-0.0535	-2.5615	-0.7115	-0.082	1.1555	0.550167
HERC5	2.72817	-1.99067	-0.290167	-1.79683	-2.3125	-2.10883	2.8775	-0.723833	0.0878333	-1.96833	-2.0028	-0.410667	-1.8085	-0.356667	-1.03583	-0.952167	1.8195	-2.3105	0.200833	-3.39767	-1.8375	-0.161333	-2.70033	-2.53883	-1.756	-0.623833	1.51933	-2.32133	-0.0961667	0.4265	-1.22467	-0.191167	2.29767	-2.0335	-0.582	-1.18217	-0.285	-2.87383	-1.676	-2.75683	-2.293	-0.382833	-1.2435	0.4055	1.81533	-2.92733	-1.987	-1.16317	-0.0313333	-0.572	0.700833	-1.7655	-0.276	-1.32717
HERPUD1	-1.25425	-0.0085	-1.10225	0.6035	0.164	-0.296	0.11225	-0.2525	-0.97175	0.1135	0.72375	1.17625	0.37575	1.56975	0.39975	0.424	-1.568	-0.741	-0.858	0.34025	0.09825	-0.1505	1.10625	0.00425	0.918	1.41075	-0.8735	1.2315	-0.01625	-1.12225	6.93889e-18	2.0065	-0.78975	-0.16675	-0.111	-1.13675	1.4975	0.753	-0.4825	-0.636	0.7	-1.26125	0.25425	0.149	-1.61675	0.074	0.66625	0.2405	-0.35625	0.454	-1.149	-0.18775	-0.0615	0.8185
HES1	1.6684	0.535	0.8024	-0.1783	-1.0183	0.2621	-0.6956	0.5997	2.708	0.7018	0.1532	0.1651	0.6276	0.2769	-0.0916	0.5106	-0.950111	1.3645	-1.2581	0.2315	-0.0512	2.931	0.1154	-0.8713	0.303	1.6715	-0.0722	0.2062	2.0133	0.1927	1.0751	-0.8339	0.6172	0.2285	0.5136	0.8834	0.2986	0.6857	0.4085	0.4404	1.1272	1.653	0.6049	1.1673	0.3629	0.3065	-0.2279	0.6016	1.7055	1.4902	0.2616	0.8654	0.6447	0.1278
HES4	-0.387	0.5725	1.893	1.2975	1.461	-0.244	1.2055	0.4185	-0.918	-1.581	0.349	-0.521	1.052	0.684	1.7915	3.0885	-0.751	1.517	-1.1335	1.442	1.885	-0.362	-0.4925	0.579	-0.148	-0.6595	0.6405	1.0475	1.1295	-1.125	1.2755	1.782	-1.213	1.541	0.9085	1.3745	-0.065	-0.392	1.406	0.9825	0.3705	0.092	0.024	1.35	0.759	0.491	0.144	-0.035	1.564	-0.2015	-0.875	1.4465	-0.5845	-1.085
HES5	-0.1985	1.18825	4.9595	2.583	1.2915	0.632	2.534	2.253	0.16425	-0.172	2.59925	3.2105	3.36475	-0.10075	2.19325	2.286	-0.5315	0.82625	0.7165	5.43775	4.17775	3.81225	1.1555	3.4245	5.7295	0.74725	2.09325	2.9335	3.9555	0.0055	3.38525	2.2425	0.439	0.439	2.74925	3.652	1.83575	0.66675	4.91925	0.905	4.3205	0.34125	2.9245	3.43125	0.1905	3.3725	2.82675	1.701	0.63925	1.9195	2.54125	1.612	0.1075	1.85325
HES6	-1.63775	1.29475	-0.62875	1.385	3.02325	0.44975	0.804	0.744	-0.25425	2.72475	1.1935	0.43825	1.66525	-0.888	1.48125	0.08875	-1.06425	1.00775	-0.295	1.5235	1.91125	-1.73625	1.41175	1.45725	2.02925	0.82675	2.44725	2.56425	0.8215	-0.229	3.00775	0.94625	-0.1035	1.4275	-1.152	-0.686	0.68175	1.2415	3.54775	-0.45825	2.26325	1.7245	-0.8715	-1.18625	0.467	-0.856	-0.46125	1.56075	-1.33	0.954	0.9385	1.54225	-0.9495	-0.4145
HES7	-0.21775	1.973	2.7315	0.987	1.3665	1.72875	1.84	1.3125	0.70725	0.35725	2.559	-0.45325	2.08975	2.4475	2.49675	3.05325	-0.5305	0.495	1.22075	1.4985	2.2535	1.4745	1.08375	1.31875	1.23825	0.1595	-0.20875	1.38625	2.243	0.881	1.54525	1.85825	0.55825	1.01625	3.214	2.50775	2.0685	1.18275	2.11925	3.6115	1.8815	0.615	2.241	2.781	2.87075	2.54075	2.4655	1.333	0.91925	1.5865	0.97625	2.5895	-0.2575	1.52725
HESX1	0.22825	-1.06975	-0.931333	-1.56175	-1.94625	-1.06675	0.15125	-2.29725	0.44525	-0.76675	-3.89775	-0.2835	-0.91675	-2.65675	-1.61675	-1.27	0.38175	-0.74675	-0.67975	-1.343	-2.113	-1.24075	-1.37	-1.72625	-0.354	-0.6945	0.0555	-0.47775	-0.2935	-0.308	-0.609	-1.78075	0.055	0.05175	-0.4205	-2.36675	-0.549	-0.708	0.05125	-1.2045	-0.779	-1.06475	-1.071	-0.99925	-0.83325	-0.59875	-1.191	-0.286	-0.81125	0.1785	-0.5435	-2.326	-1.37475	0.21525
