Name	Exp_1	Exp_2	Exp_3	Exp_4	Exp_5	Exp_6	Exp_7	Exp_8	Exp_9	Exp_10	Exp_11	Exp_12	Exp_13	Exp_14	Exp_15	Exp_16	Exp_17	Exp_18	Exp_19	Exp_20	Exp_21	Exp_22	Exp_23	Exp_24	Exp_25	Exp_26	Exp_27	Exp_28	Exp_29	Exp_30	Exp_31	Exp_32	Exp_33	Exp_34	Exp_35	Exp_36	Exp_37	Exp_38	Exp_39	Exp_40	Exp_41	Exp_42	Exp_43	Exp_44	Exp_45	Exp_46	Exp_47	Exp_48	Exp_49	Exp_50	Exp_51	Exp_52	Exp_53	Exp_54
ENAH	0.714313	0.247375	-0.452562	-0.150938	0.977375	-0.602187	1.12231	0.346875	0.9145	0.202437	-0.512312	-0.38525	-0.251375	-1.48808	-0.997563	1.91556	0.451437	-0.0095	-0.616187	0.0121875	0.0398125	0.707688	-0.538937	-0.393188	-0.1185	0.272125	1.13331	0.559813	0.311937	0.287687	0.74225	0.0486875	-0.365625	1.04794	-0.7665	-0.0901875	0.70125	0.268375	-0.0986875	0.155438	0.493688	0.134687	1.16112	0.159375	-0.329875	0.146125	0.0643125	1.28369	0.115562	0.745875	-0.522188	0.906875	-0.226562	-0.297438
ENC1	0.1045	1.97333	3.0375	0.232833	-0.203833	1.57217	0.529	2.36267	1.383	-0.242833	-0.0171667	1.81383	0.454167	-0.139667	0.728167	1.3325	0.402667	0.891667	-1.22633	0.383167	1.60217	1.91817	0.0423333	1.355	1.726	0.785667	1.65883	0.546167	0.738167	1.82217	0.995667	0.407667	3.81083	-1.61283	0.0761667	1.73833	-0.595167	1.94617	1.37033	0.0178333	0.910833	2.40683	0.553833	2.022	-0.629667	2.0125	1.55633	0.872667	1.9845	0.1165	1.1705	0.0826667	-1.92067	1.15967
ENDOD1	0.931	-0.440667	0.782	0.677833	0.759667	0.3235	-0.839167	-0.0868333	1.15817	-0.660167	-0.504167	0.768833	-0.461167	0.244833	0.047	1.07433	0.0375	-0.128667	0.358	0.321	-0.138167	0.0873333	0.386667	0.0653333	0.143833	0.729	0.753667	0.518333	1.0775	0.457333	1.34317	0.613333	1.4015	0.449833	-0.678833	-1.20733	0.517167	-0.0871667	1.0035	-1.01233	0.313333	-0.671	0.6805	0.487	0.0671667	0.388667	-0.337833	-0.092	1.071	0.269667	0.271333	0.254167	0.410833	0.194
ENG	-0.828	0.01625	-0.84325	-0.492	-0.91575	-1.1625	-0.59825	-0.053	-1.5515	-1.206	0.02775	-0.439	0.53925	0.97875	0.052	-0.4115	-2.01225	-0.9685	-0.5915	-0.662	0.394	-0.8355	-0.12175	-0.23525	0.32025	-0.7725	-1.8775	-1.15575	-0.88575	-0.65675	-0.9605	-0.43875	-0.8025	-1.0185	-0.6345	-0.38	0.4065	-1.0075	-0.40175	-0.155	-0.3525	-0.7045	-0.382	0.201	-0.062	-0.83925	-0.7255	-1.027	-1.19675	-1.76025	-1.31525	-0.3395	-0.93975	-0.3595
ENO1	-1.5	-0.797714	-1.93471	0.0422857	0.189071	-0.210429	-0.738786	-0.586929	-1.82143	-0.100286	-0.639714	-1.13021	-1.20486	0.0556429	-0.8635	-0.649429	0.099	-0.177357	-0.421286	0.193714	-0.751786	-1.71079	-1.08379	-0.6425	-1.69957	-1.44121	-0.760214	-0.848071	-0.765857	-1.0805	-0.994214	-0.474786	-0.831929	-0.584571	-0.855214	-0.606	-1.52129	-0.227357	-0.362143	-0.903929	-0.608143	-0.164429	-1.69871	-0.941929	0.0345714	-1.20229	-1.00286	-1.15279	-0.799929	-0.304857	-1.57221	-0.1375	-0.142357	-1.1305
ENO2	-1.793	-2.5065	-1.7615	-1.175	-0.244333	-0.347	-2.02233	-2.889	-1.114	0.748	-1.299	-2.99167	-2.38817	-2.2865	-1.77567	0.119	-1.126	-0.168	-3.2055	-1.1265	-1.78967	-1.79967	-1.46833	-0.741	-2.0515	-1.89567	0.612833	-2.29667	-2.6425	-2.69983	-0.743667	-0.165667	-1.91433	-0.504667	-1.876	-1.3785	-2.61233	-0.5325	-1.9235	-2.2705	-2.006	-1.45767	-2.51083	-1.4995	-1.70967	-1.56517	-1.38683	-3.329	-1.45183	-1.91883	-2.14617	-1.62533	-0.247667	-1.74533
ENOSF1	-0.897333	-0.208167	-1.382	1.09083	-0.0491667	-0.153167	-0.6055	-0.579167	-1.31133	-0.0928333	0.529667	-0.1985	-0.93	-1.5115	-0.6725	-0.187667	-0.0878	0.126667	-0.111	0.870833	0.658833	-1.52383	-0.62	0.7585	-0.796833	-0.0573333	0.177667	0.0828333	-0.7625	-2.119	0.0453333	-0.0625	-0.934	-0.0278333	-1.50433	-1.3865	-0.7915	-0.331167	-0.69	0.143167	0.0928333	-1.597	-0.501	-0.495667	-1.86417	-0.297167	0.0113333	-0.540667	-0.788667	-0.0291667	-0.207167	-0.814167	1.62783	1.2895
ENOX1	-0.140333	-1.97517	-0.512	-1.97217	-2.472	-3.51733	-2.43467	-2.1665	-1.62467	-1.491	0.3855	-1.49833	-2.32767	0.781333	-2.165	-1.91	-1.0896	-2.16367	-2.90417	-2.07583	-2.04817	-1.09483	-2.48667	-2.48367	0.814167	-1.61017	1.40833	-1.9475	-1.92633	-0.968667	-1.83567	-2.3445	-1.29983	-1.08567	-1.133	-1.66183	-1.04017	-0.8635	0.231	-2.17483	-0.901333	-0.4325	-0.996667	-0.123667	-1.01033	-0.138333	-0.287	-1.20133	-1.40017	-1.98583	-1.51633	-2.45333	-1.4995	-0.4895
ENOX2	0.369667	0.326833	-0.1745	0.262333	-0.401	0.0721667	-0.309333	-0.808833	-0.764167	-0.0833333	0.366667	-0.4445	-0.459333	-0.913333	0.081	-0.712167	0.5388	-1.13867	1.1795	-0.305167	-0.158167	-0.563	-0.202167	-0.112167	0.575167	0.645667	3.73733	0.594833	1.00067	0.735333	0.339167	-0.885	1.31867	-0.182667	0.3465	0.736	0.484667	0.240667	-0.198833	0.565333	0.781	-0.016	0.739167	0.356667	0.513667	0.455167	0.4265	0.2705	0.871667	-0.408	0.759833	0.100667	-0.574667	0.313167
ENPEP	1.12267	0.629667	-0.23475	0.162	-0.2255	-0.6418	0.469667	0.8775	0.116667	-0.0798333	1.01767	0.2345	-0.571167	-1.312	0.497667	0.749	1.2925	0.682167	1.10417	-0.137167	1.687	1.62283	0.238667	0.6745	0.287333	0.844333	0.539667	1.5055	0.1692	0.263833	-0.864333	-0.854	-0.743	0.4285	0.104833	0.282833	0.605	1.334	1.00133	-0.3114	0.7435	0.982167	1.31817	0.0465	0.739333	-0.449	0.0583333	0.156667	2.4005	-0.56825	-0.4476	0.3925	0.728833	0.6045
